input,output,type
updateMday_golden_0086,Utilise python manage.py makemigrations pour générer les scripts de migration. Django crée des fichiers dans /migrations/ décrivant les changements de schéma. Exécute python manage.py sqlmigrate app_name 0001_initial pour voir le SQL. Applique avec python manage.py migrate.,analysis
updateMday_golden_0087,Utilise des media queries CSS ou un framework comme TailwindCSS. Exemple : <div class='flex flex-col md:flex-row'>. Ajoute des classes utilitaires (w-full md:w-1/2). Teste avec les outils de développement Chrome. Utilise meta viewport dans le <head> pour l’adaptation mobile.,analysis
updateMday_golden_0088,"Utilise useState pour suivre les valeurs, et map() pour générer les champs à partir d’un tableau de configuration. Exemple : {fields.map(f => <input key={f.id} name={f.name} onChange={handleChange}/> )}. Ajoute la validation en temps réel et un bouton d’ajout de champ. Gère la soumission avec onSubmit.",analysis
updateMday_golden_0089,"Installe tensorflow et charge ton modèle tf.keras.models.load_model('model.h5'). Crée un endpoint /predict recevant un JSON, converti en numpy.array. Passe-le dans model.predict() et retourne le résultat. Utilise un threadpool ou asyncio pour éviter le blocage. Prévois un timeout pour chaque requête.",analysis
updateMday_golden_0090,Installe langchain et un LLM (ex: OpenAI). Déclare une ConversationChain avec un MemoryBuffer. Crée une fonction ask_user(input) qui retourne la réponse du modèle. Intègre ce système dans FastAPI via un endpoint /chat. Ajoute un front React avec WebSocket pour afficher la conversation en temps réel.,analysis
updateMday_golden_0091,"Crée plusieurs apps (users, blog, comments). Chaque app a son propre models.py et urls.py. Regroupe les routes dans project/urls.py. Garde une cohérence de nommage (users/, blog/, comments/). Crée une base commune (User) et relie les autres modèles avec des clés étrangères.",analysis
updateMday_golden_0092,"Pour optimiser les requêtes Django : 1) Utilise select_related() pour les ForeignKey et OneToOne afin de réduire les requêtes N+1, 2) Utilise prefetch_related() pour les relations ManyToMany et reverse ForeignKey, 3) Ajoute des index sur les colonnes fréquemment filtrées avec db_index=True, 4) Utilise only() et defer() pour limiter les champs récupérés, 5) Active le query logging avec DEBUG_TOOLBAR pour identifier les requêtes lentes, 6) Utilise aggregate() et annotate() pour les calculs en base, 7) Cache les résultats avec Redis pour les requêtes répétitives.",analysis
updateMday_golden_0093,"Pour la pagination REST : 1) Utilise les query params ?page=1&limit=20, 2) Dans FastAPI, crée des paramètres page: int = 1 et limit: int = 20, 3) Calcule offset = (page - 1) * limit, 4) Retourne total_count, page, limit, et results dans la réponse JSON, 5) Ajoute des liens next/previous, 6) Limite le max à 100 items par page pour la performance, 7) Ajoute un header X-Total-Count pour les métadonnées.",analysis
updateMday_golden_0094,"Pour prévenir les injections SQL : 1) Utilise TOUJOURS des requêtes paramétrées (prepared statements), 2) Avec SQLAlchemy, utilise les ORM methods qui échappent automatiquement, 3) Ne concatène JAMAIS des strings dans les requêtes SQL, 4) Valide et sanitise toutes les entrées utilisateur avec Pydantic, 5) Utilise des whitelists pour les noms de colonnes dynamiques, 6) Active le mode strict du parser SQL, 7) Log et alerte sur les tentatives d'injection détectées.",analysis
updateMday_golden_0095,"Pour les notifications push : 1) Utilise l'API Push du navigateur avec service workers, 2) Demande la permission avec Notification.requestPermission(), 3) Enregistre le service worker et récupère la subscription, 4) Stocke les subscriptions en base côté serveur, 5) Utilise une lib comme web-push pour envoyer depuis le backend, 6) Génère des clés VAPID pour l'authentification, 7) Gère les cas où le user refuse ou révoque la permission, 8) Teste sur plusieurs navigateurs.",analysis
updateMday_golden_0096,"Pour limiter le taux de requêtes : 1) Installe slowapi, 2) Configure un limiter avec @limiter.limit('5/minute'), 3) Identifie les clients par IP ou clé API, 4) Stocke les compteurs dans Redis pour la persistence, 5) Retourne un code 429 Too Many Requests avec un header Retry-After, 6) Implémente des limites différentes selon les endpoints (login plus strict), 7) Whitelist les IPs de confiance, 8) Log les dépassements pour détecter les abus.",analysis
updateMday_golden_0097,"Pour RabbitMQ : 1) Installe pika (client Python), 2) Crée une connexion et un channel, 3) Déclare une queue avec channel.queue_declare(), 4) Publie des messages avec basic_publish(), 5) Consomme avec basic_consume() et un callback, 6) Implémente le acknowledge manuel pour la fiabilité, 7) Configure des exchanges (direct, topic, fanout) selon le besoin, 8) Gère la reconnexion automatique en cas de perte, 9) Monitore avec RabbitMQ Management UI.",analysis
updateMday_golden_0098,"Le pattern Repository : 1) Crée une interface IRepository avec les méthodes CRUD abstraites, 2) Implémente des classes concrètes (UserRepository, TaskRepository), 3) Injecte le repository dans les services via dependency injection, 4) Isole la logique de persistence de la logique métier, 5) Facilite les tests avec des mock repositories, 6) Permet de changer facilement de source de données (SQL vers NoSQL), 7) Ajoute des méthodes spécifiques au domaine (find_by_email, find_active_users).",analysis
updateMday_golden_0099,"Avec Alembic : 1) Installe alembic et initialise avec alembic init alembic, 2) Configure sqlalchemy.url dans alembic.ini, 3) Crée une migration avec alembic revision --autogenerate -m 'description', 4) Vérifie le fichier de migration généré dans /versions, 5) Applique avec alembic upgrade head, 6) Rollback avec alembic downgrade -1, 7) Gère les migrations en équipe avec git, 8) Teste les migrations sur un clone de prod avant déploiement.",analysis
updateMday_golden_0100,"Pour Elasticsearch : 1) Installe elasticsearch-py, 2) Crée un index avec un mapping défini, 3) Indexe les documents avec client.index(), 4) Effectue des recherches avec client.search() et DSL queries, 5) Utilise match_query pour la recherche textuelle fuzzy, 6) Configure des analyzers personnalisés (français, stopwords), 7) Implémente l'autocomplétion avec completion suggester, 8) Gère la synchronisation avec la base principale via des workers.",analysis
updateMday_golden_0101,"Pour Grafana : 1) Connecte Grafana à Prometheus comme source de données, 2) Crée un dashboard avec des panels (gauges, graphs, tables), 3) Configure des requêtes PromQL pour les métriques (CPU, mémoire, requêtes/sec), 4) Ajoute des alertes avec des seuils, 5) Configure les notifications vers Slack ou email, 6) Organise les dashboards par service (API, DB, Cache), 7) Utilise des variables pour filtrer dynamiquement, 8) Exporte et versionne les dashboards en JSON.",analysis
updateMday_golden_0102,"CQRS (Command Query Responsibility Segregation) : 1) Sépare les opérations de lecture (queries) des opérations d'écriture (commands), 2) Crée un service CommandHandler pour les mutations, 3) Crée un service QueryHandler pour les lectures, 4) Utilise des modèles de données différents (write model vs read model), 5) Synchronise avec Event Sourcing ou CDC, 6) Optimise chaque côté indépendamment, 7) Scale les reads et writes séparément.",analysis
updateMday_golden_0103,"Pour les transactions distribuées : 1) Évite les transactions ACID classiques, 2) Implémente le pattern Saga (choreography ou orchestration), 3) Chaque service effectue une transaction locale et publie un événement, 4) Implémente des opérations de compensation pour les rollbacks, 5) Utilise un event bus (Kafka, RabbitMQ), 6) Gère l'idempotence des opérations, 7) Log toutes les étapes pour la traçabilité, 8) Accepte la consistance éventuelle.",analysis
updateMday_golden_0104,"Pour les feature flags : 1) Crée une table features avec nom, enabled, users_whitelist, 2) Implémente une fonction is_feature_enabled(feature_name, user_id), 3) Cache les flags dans Redis avec TTL court, 4) Crée une interface admin pour toggle les features, 5) Utilise des pourcentages de rollout progressif, 6) Log l'utilisation des features pour l'analyse, 7) Intègre avec LaunchDarkly ou ConfigCat pour une solution managée.",analysis
updateMday_golden_0105,"Versioning sémantique (SemVer) : 1) Format MAJOR.MINOR.PATCH (ex: 2.1.3), 2) MAJOR : breaking changes incompatibles, 3) MINOR : ajout de fonctionnalités rétrocompatibles, 4) PATCH : corrections de bugs, 5) Documente les changements dans un CHANGELOG.md, 6) Utilise des tags git pour marquer les releases, 7) Dans l'API, expose la version dans un header ou l'URL (/v2/users), 8) Maintiens au moins 2 versions majeures en parallèle.",analysis
updateMday_golden_0106,"Health checks : 1) Crée un endpoint /health qui retourne 200 si OK, 2) Vérifie la DB avec une requête simple (SELECT 1), 3) Vérifie Redis avec un PING, 4) Vérifie les dépendances externes avec des timeouts courts, 5) Retourne un JSON détaillé avec le statut de chaque composant, 6) Implémente aussi /ready pour Kubernetes readiness, 7) Configure des intervalles courts (5-10s), 8) Log les échecs pour investigation.",analysis
updateMday_golden_0107,"Caching multi-niveaux : 1) L1 : cache in-memory local (dict Python ou LRU cache), 2) L2 : cache distribué Redis, 3) L3 : cache CDN pour les assets statiques, 4) Stratégie : check L1 → L2 → DB, 5) TTL différenciés par type de données, 6) Invalidation proactive sur les mutations, 7) Cache-aside pattern pour les reads, 8) Monitore les hit rates à chaque niveau.",analysis
updateMday_golden_0108,"OpenTelemetry : 1) Installe opentelemetry-api et -sdk, 2) Configure un tracer provider, 3) Instrumente ton code avec @tracer.start_as_current_span(), 4) Propage le trace context entre services (headers), 5) Exporte vers Jaeger ou Zipkin, 6) Ajoute des attributs personnalisés aux spans, 7) Trace les appels DB, cache, et API externes, 8) Visualise les latences et identifie les bottlenecks.",analysis
updateMday_golden_0109,"Déduplication : 1) Génère un message_id unique (UUID), 2) Stocke les IDs traités dans Redis avec TTL, 3) Avant traitement, check if message_id in cache, 4) Pour les idempotence keys, utilise une table DB avec contrainte unique, 5) Implémente un TTL court (5-10min) pour limiter la taille, 6) Gère les collisions avec un hash du payload si nécessaire, 7) Log les duplicatas détectés pour monitoring.",analysis
updateMday_golden_0110,"Circuit Breaker : 1) Installe circuitbreaker ou pybreaker, 2) Wrappe les appels externes avec @circuit, 3) États : Closed (normal), Open (erreur), Half-Open (test), 4) Configure un seuil d'erreurs (ex: 5 échecs), 5) Timeout d'ouverture (30s avant retry), 6) Retourne une réponse fallback quand ouvert, 7) Log les transitions d'état, 8) Monitore les métriques (opened_count, success_rate).",analysis
updateMday_golden_0111,"Secrets Kubernetes : 1) Crée un secret avec kubectl create secret generic, 2) Monte-le comme volume ou variable d'environnement, 3) Chiffre les secrets at-rest avec KMS, 4) Utilise Sealed Secrets pour versionner dans git, 5) Limite l'accès avec RBAC, 6) Rotate régulièrement les secrets, 7) Alternative : utilise un vault externe (HashiCorp Vault, AWS Secrets Manager), 8) Ne log JAMAIS les secrets.",analysis
updateMday_golden_0112,"Retry avec backoff : 1) Utilise tenacity library, 2) Configure @retry(stop=stop_after_attempt(3), wait=wait_exponential()), 3) Premiers délais : 1s, 2s, 4s, 4) Ajoute du jitter pour éviter les tempêtes, 5) Définis les exceptions retryables (NetworkError, 503), 6) Log chaque tentative, 7) Set un max_wait pour limiter l'attente, 8) Retourne une erreur claire après épuisement.",analysis
updateMday_golden_0113,"Blue-Green deployment : 1) Maintiens 2 environnements identiques (blue et green), 2) Blue sert le trafic actuel, 3) Déploie la nouvelle version sur green, 4) Teste green exhaustivement, 5) Bascule le load balancer vers green, 6) Monitore les erreurs post-switch, 7) Garde blue en standby pour rollback rapide, 8) Une fois stable, green devient le nouveau blue.",analysis
updateMday_golden_0114,"Saga orchestrée : 1) Crée un orchestrator central qui coordonne, 2) Définis les étapes séquentielles (reserve_payment, book_hotel, send_confirmation), 3) L'orchestrator appelle chaque service et attend la réponse, 4) En cas d'échec, exécute les compensations en ordre inverse, 5) Stocke l'état du saga en DB pour reprise, 6) Log chaque transition, 7) Implémente des timeouts par étape, 8) Expose un endpoint pour consulter l'état.",analysis
updateMday_golden_0115,"Optimisation Docker : 1) Utilise des images alpine (python:3.11-alpine), 2) Multi-stage builds pour séparer build et runtime, 3) Copie requirements.txt avant le code pour le cache layer, 4) Supprime les caches pip (--no-cache-dir), 5) Utilise .dockerignore pour exclure les fichiers inutiles, 6) Combine les RUN pour réduire les layers, 7) Scanne avec trivy pour les vulnérabilités, 8) Compresse avec docker-slim si possible.",analysis
updateMday_golden_0116,"Quotas utilisateur : 1) Ajoute une colonne quota_limit et quota_used à User, 2) Incrémente quota_used à chaque opération, 3) Vérifie avant chaque action if quota_used >= quota_limit, 4) Reset mensuel avec un cron job, 5) Stocke les compteurs dans Redis pour la performance, 6) Crée des plans (free, pro, enterprise) avec limites différentes, 7) Envoie des alertes à 80% et 100%, 8) Interface admin pour ajuster manuellement.",analysis
updateMday_golden_0117,"Upload de gros fichiers : 1) Utilise UploadFile avec streaming, 2) Chunked upload : découpe côté client en morceaux, 3) Stocke temporairement avec un upload_id unique, 4) Réassemble les chunks côté serveur, 5) Utilise S3 avec presigned URLs pour upload direct, 6) Limite la taille max avec MAX_UPLOAD_SIZE, 7) Valide le type MIME, 8) Scanne les virus avec ClamAV, 9) Progress tracking avec WebSocket.",analysis
updateMday_golden_0118,"Pattern Outbox : 1) Lors d'une transaction DB, insère aussi dans une table outbox, 2) Un worker polling lit l'outbox et publie dans le message broker, 3) Marque comme processed après publication réussie, 4) Garantit la cohérence (atomicité DB + event), 5) Gère les duplicatas avec message_id, 6) Retry automatique en cas d'échec de publication, 7) Archive les messages traités après 7 jours, 8) Monitore la lag (messages pending).",analysis
updateMday_golden_0119,"RBAC : 1) Modèles : User, Role, Permission, 2) Relations : User many-to-many Role, Role many-to-many Permission, 3) Définis des rôles (admin, editor, viewer), 4) Définis des permissions (user:create, post:delete), 5) Décorateur @require_permission('post:edit'), 6) Vérifie dans le middleware les permissions du user, 7) Cache les permissions dans Redis, 8) Interface admin pour gérer roles et permissions.",analysis
updateMday_golden_0120,"Soft delete : 1) Ajoute une colonne deleted_at nullable, 2) Sur delete, fais UPDATE SET deleted_at = NOW(), 3) Filtre par défaut WHERE deleted_at IS NULL, 4) Manager custom pour inclure/exclure les supprimés, 5) Endpoint admin pour restaurer (SET deleted_at = NULL), 6) Purge définitive après X jours avec un job, 7) Index sur deleted_at pour performance, 8) Audit trail complet.",analysis
updateMday_golden_0121,"Hot reload : 1) Lance avec uvicorn main:app --reload, 2) Surveille les changements de fichiers .py, 3) Redémarre automatiquement le serveur, 4) Pour Docker, monte le volume : -v $(pwd):/app, 5) Utilise watchfiles pour des patterns custom, 6) Exclut les dossiers inutiles (__pycache__, .git), 7) En prod, DÉSACTIVE le reload, 8) Alternative : utilise nodemon avec python.",analysis
updateMday_golden_0122,"Webhooks sortants : 1) Table webhook_subscriptions (url, events, secret), 2) Sur événement, récupère les subscribers, 3) Envoie POST avec payload JSON signé (HMAC), 4) Retry avec backoff si échec (3 tentatives), 5) Timeout de 5s par requête, 6) Log les succès/échecs, 7) Désactive après X échecs consécutifs, 8) Interface pour tester les webhooks, 9) Respecte les rate limits du destinataire.",analysis
updateMday_golden_0123,"Templating emails : 1) Utilise Jinja2 pour les templates HTML, 2) Stocke les templates dans /templates/emails/, 3) Variables dynamiques : {{ user.name }}, {{ order.id }}, 4) Crée une version plaintext alternative, 5) Inline CSS pour compatibilité email, 6) Teste avec un service (Litmus, Email on Acid), 7) Implémente i18n pour multi-langues, 8) Prévisualise avant envoi, 9) Track les opens avec pixel.",analysis
updateMday_golden_0124,"Logs structurés : 1) Utilise structlog, 2) Configure le renderer JSON, 3) Log des dicts : log.info('user_login', user_id=123, ip=ip), 4) Indexe dans Elasticsearch, 5) Ajoute des champs standards (timestamp, level, service), 6) Injecte le trace_id dans chaque log, 7) Parse facilement avec jq, 8) Dashboards Kibana pour analyse.",analysis
updateMday_golden_0125,"Time zones : 1) Stocke TOUJOURS en UTC en base, 2) Utilise datetime avec tzinfo, 3) Convertis à la timezone user lors de l'affichage, 4) Utilise pytz ou zoneinfo, 5) API : accepte et retourne ISO 8601 avec offset, 6) Frontend : utilise moment.js ou date-fns-tz, 7) Gère le DST automatiquement, 8) Teste avec différentes zones.",analysis
updateMday_golden_0126,"Commentaires thread : 1) Modèle : Comment avec parent_id self-referential, 2) Récursif : parent many-to-many children, 3) Query : récupère avec select_related('parent').prefetch_related('children'), 4) Frontend : affiche récursivement avec composant Comment, 5) Limite la profondeur (max 3 niveaux), 6) Ordre : tri par created_at ou votes, 7) Pagination par niveau, 8) Notifications sur réponses.",analysis
updateMday_golden_0127,"Tags avec autocomplete : 1) Table tags (name unique), 2) Relation many-to-many avec items, 3) Index full-text sur name, 4) Endpoint /tags/search?q=prefix avec LIKE 'prefix%', 5) Cache les tags populaires, 6) Frontend : utilise un composant autocomplete, 7) Debounce les requêtes (300ms), 8) Affiche max 10 suggestions, 9) Permet création de nouveau tag inline.",analysis
updateMday_golden_0128,"Favoris : 1) Table likes (user_id, item_id, contrainte unique), 2) Endpoint POST /items/{id}/like toggle, 3) Cache le count dans Redis : INCR item:123:likes, 4) Requête optimisée : SELECT EXISTS(SELECT 1 FROM likes WHERE ...), 5) Agrégation : annotate(likes_count=Count('likes')), 6) Dénormalise le count en DB si nécessaire, 7) Real-time updates via WebSocket.",analysis
updateMday_golden_0129,"Sessions Redis : 1) Génère un session_id (UUID), 2) Stocke dans Redis : SET session:uuid {user_data} EX 3600, 3) Cookie httpOnly avec le session_id, 4) Middleware récupère la session à chaque requête, 5) Renouvelle le TTL sur activité, 6) Logout : DELETE session:uuid, 7) Liste les sessions actives d'un user, 8) Force disconnect de toutes les sessions.",analysis
updateMday_golden_0130,"Codes promo : 1) Table promo_codes (code unique, discount_percent, max_uses, expires_at), 2) Vérifications : code existe, pas expiré, usages < max_uses, 3) Incrémente uses_count dans transaction, 4) Applique la réduction au panier, 5) Stocke l'utilisation (user_id, code, timestamp), 6) Un code par commande, 7) Codes à usage unique : max_uses=1, 8) Admin : génère des codes en bulk.",analysis
updateMday_golden_0131,"Recherche avec filtres : 1) Query params : ?category=tech&price_min=10&price_max=50, 2) Build query dynamiquement : filters = [], 3) Ajoute les conditions : if category: filters.append(Item.category == category), 4) Combine avec AND : query.filter(*filters), 5) Utilise des index sur les colonnes filtrées, 6) Frontend : chips pour filtres actifs, 7) Compteurs : items trouvés par filtre, 8) Sauvegarde les recherches favorites.",analysis
updateMday_golden_0132,"Génération PDF : 1) Utilise ReportLab ou WeasyPrint, 2) Template HTML/CSS pour le design, 3) Convertis avec pdfkit ou weasyprint.HTML().write_pdf(), 4) Données dynamiques via Jinja2, 5) Endpoint /reports/{id}/pdf génère et stream, 6) Option : génère async et notifie, 7) Stocke dans S3 avec expiration, 8) Ajoute header/footer, pagination, 9) Watermark pour drafts.",analysis
updateMday_golden_0133,"Gestion erreurs réseau : 1) Utilise httpx avec timeout explicite, 2) Try/except : httpx.TimeoutException, httpx.ConnectError, 3) Retry avec tenacity sur erreurs transient (502, 503, 504), 4) Circuit breaker pour éviter les tempêtes, 5) Fallback : retourne des données en cache ou valeur par défaut, 6) Log détaillé : URL, status, latency, 7) Alerte si taux d'erreur > seuil, 8) Test avec mock qui fail.",analysis
updateMday_golden_0134,"Système de points : 1) Table user_points (user_id, balance), 2) Table transactions (user_id, amount, reason, timestamp), 3) Actions récompensées : signup (+100), post (+10), invite (+50), 4) Transactions atomiques : UPDATE balance, INSERT transaction, 5) Historique complet pour audit, 6) Expirations : points valides 1 an, 7) Échange contre rewards, 8) Leaderboard des top users.",analysis
updateMday_golden_0135,"Abonnements récurrents : 1) Table subscriptions (user_id, plan_id, status, current_period_end), 2) Intégration Stripe pour les paiements, 3) Webhook Stripe : invoice.paid → renouvelle l'abonnement, 4) Statuts : active, past_due, canceled, 5) Cron job quotidien : vérifie les expirations, 6) Envoie des emails : renouvellement réussi/échoué, 7) Prorata pour upgrades, 8) Période d'essai gratuite.",analysis
updateMday_golden_0136,"Système de réservations : 1) Table slots (resource_id, start_time, end_time, status), 2) Vérif disponibilité : WHERE NOT EXISTS (overlap), 3) Lock pessimiste pendant la réservation, 4) Transaction pour éviter double booking, 5) Statuts : available, reserved, confirmed, completed, 6) Annulation : délai limite, remboursement, 7) Overbooking contrôlé, 8) Calendrier visuel en frontend.",analysis
updateMday_golden_0137,"Stockage S3 : 1) Installe boto3, 2) Client : s3 = boto3.client('s3'), 3) Upload : s3.upload_fileobj(file, bucket, key), 4) Download : s3.download_fileobj(bucket, key, file), 5) Presigned URLs pour upload direct client, 6) Lifecycle policies : archive après 90j, suppression après 1 an, 7) Versioning activé, 8) CORS configuré, 9) CloudFront pour CDN.",analysis
updateMday_golden_0138,"Révisions de contenu : 1) Table revisions (item_id, version, content_snapshot, created_by), 2) À chaque edit, insère une nouvelle révision, 3) version auto-incrémenté, 4) Endpoint /items/{id}/revisions liste l'historique, 5) Endpoint /items/{id}/revert/{version} restaure, 6) Diff entre versions (Myers algorithm), 7) Limite : garde 50 dernières révisions, 8) Blame : qui a modifié quoi.",analysis
updateMday_golden_0139,"Dashboard temps réel : 1) Backend : WebSocket manager avec liste de connections, 2) Broadcast sur événement : await manager.send_json(data), 3) Frontend : const ws = new WebSocket('ws://...'), 4) ws.onmessage = (e) => updateDashboard(JSON.parse(e.data)), 5) Metrics : requêtes/sec, users online, errors, 6) Graphes avec Chart.js ou Recharts, 7) Auto-reconnect si déconnecté, 8) Heartbeat pour détecter les connexions mortes.",analysis
updateMday_golden_0140,"Modération de contenu : 1) Queue de modération : table items avec status=pending, 2) Dashboard admin liste les items pending, 3) Actions : approve, reject, flag, 4) Intégration API modération (Perspective, OpenAI Moderation), 5) Filtres automatiques : spam, profanity, 6) Reports utilisateurs : table reports (item_id, reason, reporter), 7) Historique des décisions, 8) Appeals : les users peuvent contester.",analysis
updateMday_golden_0141,"Migrations sensibles : 1) Backup complet avant migration, 2) Test sur un clone de prod, 3) Script réversible (up et down), 4) Chiffre les données sensibles avant migration, 5) Migration en heures creuses, 6) Mode maintenance si downtime nécessaire, 7) Monitoring : check data integrity après, 8) Plan de rollback documenté, 9) Communication aux users.",analysis
updateMday_golden_0142,"Changelog API : 1) Fichier CHANGELOG.md structuré par version, 2) Format : Added, Changed, Deprecated, Removed, Fixed, Security, 3) Versionning sémantique, 4) Exposition : endpoint /changelog retourne le markdown ou JSON, 5) Notifications : email sur breaking changes, 6) Deprecated endpoints : header X-Deprecated-Warning, 7) Sunset header pour les EOL, 8) Documentation automatique avec tags.",analysis
updateMday_golden_0143,"i18n : 1) Fichiers de traduction : /locales/fr.json, /locales/en.json, 2) Structure : {'welcome': 'Bienvenue', 'login': 'Connexion'}, 3) Détection langue : header Accept-Language ou query param, 4) Backend : fonction t(key, lang) retourne la traduction, 5) Frontend : bibliothèque i18next ou react-i18next, 6) Variables : t('welcome_user', {name: 'Alice'}), 7) Fallback à la langue par défaut, 8) Pluralisation gérée.",analysis
updateMday_golden_0144,"Queue prioritaire : 1) Redis sorted set : ZADD queue score task_id, 2) Score = priorité (plus bas = plus urgent), 3) Worker : ZPOPMIN queue récupère le plus urgent, 4) Priorités : urgent (1), high (5), normal (10), low (20), 5) Réordonne dynamiquement si nécessaire, 6) Timeout : remet en queue si pas traité en X min, 7) Métriques : taille queue par priorité, 8) Dead letter queue pour échecs.",analysis
updateMday_golden_0145,"Événements planifiés : 1) Stocke start_time en UTC, 2) Stocke aussi timezone de l'événement, 3) Affiche converti : pytz.timezone(event.timezone).localize(), 4) Cron jobs : exécute en UTC, 5) Notifications : envoie à l'heure locale du user, 6) Gère DST automatiquement, 7) iCal export avec VTIMEZONE, 8) Validation : timezone doit être dans pytz.all_timezones.",analysis
updateMday_golden_0146,"Backup automatique : 1) Cron job quotidien : pg_dump database > backup_$(date).sql, 2) Upload sur S3 avec versioning, 3) Retention : 7 daily, 4 weekly, 12 monthly, 4) Test de restore mensuel automatisé, 5) Chiffrement AES-256 des backups, 6) Alertes si backup échoue, 7) Backup incrémental pour grosse DB, 8) Documentation du process de restore, 9) Offsite backup dans région différente.",analysis
updateMday_golden_0147,"Génération factures : 1) Modèle Invoice (number, date, customer, items, total, status), 2) Numérotation automatique séquentielle, 3) Template PDF avec logo et mentions légales, 4) Calcul TTC : HT + TVA, 5) Statuts : draft, sent, paid, overdue, 6) Emails automatiques avec PDF attaché, 7) Rappels pour impayés, 8) Export comptable CSV, 9) Archivage légal 10 ans.",analysis
updateMday_golden_0148,"Système de recommandations : 1) Collaborative filtering : similitude entre users, 2) Content-based : features des items, 3) Hybrid approach combine les deux, 4) Calcul de similarité : cosine similarity, 5) Matrice user-item sparse, 6) Algorithme : K-Nearest Neighbors ou Matrix Factorization, 7) Batch compute quotidien, stocke dans Redis, 8) Real-time : mets à jour sur interactions, 9) A/B testing pour mesurer l'impact.",analysis
updateMday_golden_0149,"CORS multi-domaines : 1) Liste whitelist des origines autorisées, 2) Middleware vérifie origin contre whitelist, 3) Retourne Access-Control-Allow-Origin dynamiquement, 4) Methods : GET, POST, PUT, DELETE, OPTIONS, 5) Headers : Authorization, Content-Type, 6) Credentials : true si cookies nécessaires, 7) Preflight cache : Access-Control-Max-Age, 8) Env var pour config par environnement.",analysis
updateMday_golden_0150,"Système de votes : 1) Table polls (question, options JSON, ends_at), 2) Table votes (poll_id, user_id, option_index, contrainte unique), 3) Vérif : user pas déjà voté, poll non expiré, 4) Agrégation : COUNT par option, 5) Real-time results via WebSocket, 6) Anonymous polls : stocke IP hash au lieu de user_id, 7) Results visibles après vote ou fin, 8) Export résultats CSV.",analysis
updateMday_golden_0151,"Cache invalidation : 1) Tags : associe des tags aux clés (user:123, posts), 2) Invalidation par tag : redis.delete(*redis.keys('user:123:*')), 3) Event-driven : sur mutation, publie event d'invalidation, 4) Stale-while-revalidate : retourne cache périmé pendant refresh, 5) Time-based : TTL court + background refresh, 6) Versioning : incrémente version dans clé, 7) Monitoring : track invalidation rate.",analysis
updateMday_golden_0152,"Chat temps réel : 1) WebSocket pour bidirectionnelle, 2) Table messages (room_id, user_id, content, timestamp), 3) Server broadcast aux users dans la room, 4) Typing indicators : events ephemeral, 5) Read receipts : table read_status, 6) Message history : pagination infinie, 7) Upload images inline, 8) Emoji reactions, 9) Modération : filtres bad words.",analysis
updateMday_golden_0153,"Cohérence éventuelle : 1) Accepte que les reads peuvent être stale, 2) Write : succès dès qu'accepté par un nœud, 3) Réplication async en arrière-plan, 4) Conflict resolution : last-write-wins ou merge, 5) Version vectors pour détecter conflits, 6) Read-your-writes consistency avec session sticky, 7) Monitoring du lag de réplication, 8) Acceptable pour analytics, problématique pour transactions financières.",pr
updateMday_golden_0154,"Billing usage-based : 1) Metering : track chaque API call, stockage utilisé, 2) Table usage_metrics (user_id, metric, quantity, timestamp), 3) Agrégation mensuelle : SUM par metric, 4) Pricing tiers : 0-1000 free, 1001-10000 $0.01, etc, 5) Génération facture fin de mois, 6) Preview usage en temps réel dans dashboard, 7) Alertes si dépassement, 8) Proration pour changements de plan.",analysis
updateMday_golden_0155,"A/B testing : 1) Table experiments (name, variants, traffic_split), 2) Assignation : hash(user_id + experiment) % 100 < split, 3) Stocke variant assignée : user_experiments cache, 4) Track events : conversions, metrics par variant, 5) Calcul statistical significance, 6) Dashboard : results visualization, 7) Kill switch pour arrêter rapidement, 8) Gradual rollout du winner.",analysis
updateMday_golden_0156,"SSO : 1) Protocole : SAML ou OAuth2/OIDC, 2) Identity Provider (IdP) : Okta, Auth0, AD, 3) Service Provider (SP) : ton app, 4) Flow : redirect vers IdP, auth, callback avec token, 5) Échange token contre user info, 6) Crée session locale, 7) Single Logout : proppage logout sur tous services, 8) JIT provisioning : crée user automatiquement.",analysis
updateMday_golden_0157,"Gestion deadlocks : 1) Détection : DB logs errors 1213, 2) Ordre constant d'accès aux ressources, 3) Transactions courtes, 4) Index appropriés pour réduire lock time, 5) Isolation level READ COMMITTED au lieu de SERIALIZABLE, 6) Retry automatique sur deadlock detection, 7) Monitoring : fréquence des deadlocks, 8) Refactoring : split en transactions plus petites.",pr
updateMday_golden_0158,"Géolocalisation : 1) Stocke lat/lng en DB (DECIMAL(10,8)), 2) Index spatial : PostGIS ou MySQL spatial, 3) Calcul distance : formule Haversine, 4) Query : trouve points dans rayon X km, 5) Geocoding : adresse → lat/lng (Google Maps API), 6) Reverse geocoding : lat/lng → adresse, 7) Frontend : Google Maps ou Leaflet, 8) Privacy : demande permission, floute position.",analysis
updateMday_golden_0159,"Watermarking images : 1) Utilise Pillow (PIL), 2) Charge image et watermark, 3) Calcul position : centre, coin, répété, 4) Blend avec transparence : Image.alpha_composite(), 5) Options : texte dynamique (user ID, date), 6) Resize watermark selon taille image, 7) Batch processing pour uploads existants, 8) Détection : DWT ou DCT pour watermarks invisibles.",analysis
